1, 動詞, create, を創り出す;を引き起こす, Technological change will create new ways of living., 技術の変化は新たな生活様式を創り出す。
2, 動詞, increase, 増加する;を増やす, Japan's real GDP increased by 1.9 percent last year., 日本の実質GDPは昨年1.9パーセント増加した。
3, 動詞, improve, を向上させる;よくなる, Light exercise improves thinking ability., 軽い運動は思考力を向上させる。
4, 動詞, mean, を意味する;(...する）つもりである(to do), Her silence means that she does not agree with you, 彼女の沈黙は彼女があなたに同意してないことを意味する。
5, 動詞, own, を所有する;（事実・罪など）を認める, A millionaire from China owns this hotel., 中国の富豪がこのホテルを所有している。
6, 動詞, include, を含む, Jane's work includes typing letters and making appointments., ジェーンの仕事は手紙をタイプしたり、アポを取ったりすることを含む。
7, 動詞, consider, を見なす;について考える;consider A (to B) B 「AをBとみなす」, She considers herself to be lucky., 彼女は自分自身を幸運だと見なしている。
8, 動詞, allow, を許す;を与える;(～を)考慮に入れる(for), The company allows its employees to take long winter vacations., その会社は従業員が長い冬期休暇をとるのを許している。
9, 動詞, suggest, を提案する;を暗示する, The teacher suggested that he study physics in university., 先生は彼が大学で物理学を学ぶことを提案した。
10, 動詞, produce, を生産する;を取り出す, The manufacturer produces hoe electrical appliances., その製造業者は家庭用電化製品を生産している。
11, 動詞, decide, を決める;に決着をつける, She has decided to memorize ten English words a day., 彼女は1日に10個の英単語を覚えることに決めた。
12, 動詞, offer, を提供する;申し出る, Uncle George offered me an opportunity to work for his company., ジョージおじさんは彼の会社で働く機会を私に提供した。
13, 動詞, require, を要求する;を必要とする, The Road Traffice Law requires you to wear a seat belt., 道路交通法はあなたがシートベルトを着用することを要求する。
14, 動詞, share, を共有する;を分担する, I share my office space with other people., 私はほかの人々と事務所スペースを共有している。

